description	timestamp	longitude	latitude	reportId	class	zip	city	state
Report 10498: Hiker has daylight sighting near Warrior. | Class A | Jefferson County 	1979-09-15T12:00:00Z	-86.7891	33.8132	10498	A	01073	Jefferson	AL
Report 14082: Daylight road crossing sighting near Orrville | Class A | Dallas County 	2006-09-10T12:00:00Z	-87.24547	32.30673	14082	A	01047	Dallas	AL
Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border | Class A | Franklin County 	2006-07-06T12:00:00Z	-86.99782	31.00002	15102	A	01053	Escambia	AL
Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest | Class A | Macon County 	2007-05-19T12:00:00Z	-85.705	32.43	17455	A	01087	Macon	AL
Report 17480: Sighting by a group of campers in Cheaha Mountain State Park | Class A | Talladega County 	2007-04-22T12:00:00Z	-85.625	33.35	17480	A	01111	Randolph	AL
Report 18043: Evening sighting by family driving by Guntersville Lake | Class A | Marshall County 	1992-08-15T12:00:00Z	-86.17524	34.27607	18043	A	01095	Marshall	AL
Report 22539: Roadside Sighting near Moody | Class A | St. Clair County 	2007-07-18T12:00:00Z	-86.5	33.59	22539	A	01115	St. Clair	AL
Report 24646: Early morning sighting by a fisherman south of Montgomery | Class A | Lowndes County 	2001-04-13T12:00:00Z	-86.581	32.184	24646	A	01085	Lowndes	AL
Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest | Class A | Talladega County 	1999-11-23T12:00:00Z	-86.17122000000001	33.36305	25238	A	01121	Talladega	AL
Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville | Class A | Madison County 	2009-02-24T12:00:00Z	-86.6575	34.71139	25559	A	01089	Madison	AL
Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile | Class A | Baldwin County 	1979-09-14T12:00:00Z	-87.91833	30.7113	26513	A	01003	Baldwin	AL
Report 26886: Daylight sighting while riding ATV on his private property outside Verbena | Class A | Chilton County 	2000-05-13T12:00:00Z	-86.48909999999999	32.76967	26886	A	01021	Chilton	AL
Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton | Class A | Barbour County 	1980-01-12T12:00:00Z	-85.35995	31.86801000000001	27067	A	01005	Barbour	AL
Report 27459: Motorist sights dirty-white upright creature near the town of Kansas | Class A | Walker County 	2010-03-12T12:00:00Z	-87.53395	33.8957	27459	A	01127	Walker	AL
Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas | Class A | Walker County 	1990-05-15T12:00:00Z	-87.53395	33.8957	27480	A	01127	Walker	AL
Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals | Class A | Colbert County 	2005-01-12T12:00:00Z	-87.77686	34.70112	27568	A	01033	Colbert	AL
Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton | Class A | Escambia County 	1983-10-14T12:00:00Z	-87.06486	31.13586	33307	A	01053	Escambia	AL
Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia | Class A | Covington County 	1978-10-10T12:00:00Z	-86.54527	31.34781	35293	A	01039	Covington	AL
Report 35475: Daylight road crossing near Vernon | Class A | Lamar County 	2012-05-21T12:00:00Z	-88.12475000000001	33.41574	35475	A	01107	Pickens	AL
Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale | Class A | Washington County 	2008-02-15T12:00:00Z	-88.26291000000001	31.25385	37038	A	01129	Washington	AL
Report 37094: Multiple sightings close to Lookout Mountain near Gadsden | Class A | Etowa County 	2012-11-01T12:00:00Z	-85.48985	33.82162	37094	A	01029	Cleburne	AL
Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove | Class A | Morgan County 	2012-08-15T12:00:00Z	-86.50449999999999	34.32279	39383	A	01095	Marshall	AL
Report 40417: Nighttime encounters close to home near Morgan | Class A | Morgan County 	2013-03-16T12:00:00Z	-86.56954	34.47091	40417	A	01103	Morgan	AL
Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line | Class A | Cullman County 	2013-01-23T12:00:00Z	-86.88621000000001	34.29511	40912	A	01043	Cullman	AL
Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton | Class A | Chilton County 	2013-10-15T12:00:00Z	-86.37698	32.48322	42939	A	01051	Elmore	AL
Report 44487: Memory told of a close dalylight observation outside Alexander City | Class A | Tallapoosa County 	2014-03-30T12:00:00Z	-85.97929999999999	32.91874	44487	A	01123	Tallapoosa	AL
Report 46746: Nighttime sighting by a motorist west of Newville | Class A | Henry County 	2014-09-17T12:00:00Z	-85.21574	31.23374	46746	A	01069	Houston	AL
Report 186: Two boys are chased by sasquatch | Class A | Saline County 	2001-08-11T12:00:00Z	-92.34083	34.55056	186	A	05125	Saline	AR
Report 1636: Teenager has sighting near Ozark National Forest | Class A | Baxter County 	1972-11-05T12:00:00Z	-92.38221999999999	36.19444	1636	A	05005	Baxter	AR
Report 1637: Backyard sighting near Mountain Home.  | Class A | Baxter County 	1995-05-15T12:00:00Z	-92.38499999999999	36.33528	1637	A	05005	Baxter	AR
Report 1640: Nightime sighting by motorists on Hwy 7 North | Class A | Hot Spring County 	1996-10-15T12:00:00Z	-93.00000000000001	34.08	1640	A	05019	Clark	AR
Report 1641: From top of hill, hunter observes bipedal creature following a fence row | Class A | Hot Spring County 	1998-10-29T12:00:00Z	-93.09999999999998	34.25	1641	A	05059	Hot Spring	AR
Report 1944: Family has multiple encounters with white bigfoot creature | Class A | Little River County 	1969-08-16T12:00:00Z	-94.3643	33.76986	1944	A	05081	Little River	AR
Report 2494: Bus driver encounters ape like creature during an unscheduled stop | Class A | Lonoke County 	2001-08-11T12:00:00Z	-91.735	34.787	2494	A	05085	Lonoke	AR
Report 2774: Large bipedal animal observes couple parking behind school gymnasium | Class A | Greene County 	1988-01-10T12:00:00Z	-90.51056	36.12083	2774	A	05055	Greene	AR
Report 2931: Daylight sighting outside rural home in small community of Herbine, south of Rison | Class A | Cleveland County 	2001-07-29T12:00:00Z	-92.03389000000001	33.82111	2931	A	05025	Cleveland	AR
Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road | Class A | Madison County 	1970-06-15T12:00:00Z	-93.83426	35.9975	2957	A	05087	Madison	AR
Report 3226: Man finds 3-toed prints & wife has sighting | Class A | Pope County 	1998-11-15T12:00:00Z	-93.15207999999998	35.42097	3226	A	05115	Pope	AR
Report 3519: Man working in wooded area sees bipedal animal standing on railroad tracks | Class A | Clark County 	1984-04-17T12:00:00Z	-93.20389	33.88861	3519	A	05019	Clark	AR
Report 4090: Sighting in wheat field near Fouke | Class A | Miller County 	2000-01-15T12:00:00Z	-93.886	33.26666	4090	A	05091	Miller	AR
Report 4093: Daytime sighting between Pocahontas and Imboden | Class A | Randolph County 	1977-09-25T12:00:00Z	-91.1125	36.19791	4093	A	05121	Randolph	AR
Report 4094: Late night encounter near Benton | Class A | Saline County 	1994-10-15T12:00:00Z	-92.58667	34.56444	4094	A	05125	Saline	AR
Report 5228: Motorist has nighttime sighting of bipedal animal at roadside | Class A | Fulton County 	1997-03-14T12:00:00Z	-91.87	36.37111	5228	A	05049	Fulton	AR
Report 5316: Daytime sighting by hiker near Spring Creek.  | Class A | Washington County 	2002-10-10T12:00:00Z	-94.23416999999999	36.20611	5316	A	05143	Washington	AR
Report 5607: Driver narrowly misses creature darting across mountainous stretch of highway | Class A | Polk County 	1998-07-07T12:00:00Z	-94.45417	34.70694	5607	A	05113	Polk	AR
Report 6178: Motorist crossing a bridge sees sasquatch digging in the dirt below  | Class A | Benton County 	2004-04-04T12:00:00Z	-94.44693999999998	36.18333	6178	A	05007	Benton	AR
Report 6932: Duck hunter observes apelike creature across White River | Class A | Independence County 	1999-11-15T12:00:00Z	-91.45889	35.64861	6932	A	05063	Independence	AR
Report 7045: Man riding 4-wheeler observes a bigfoot reaching into a tree | Class A | Benton County 	2003-10-31T12:00:00Z	-93.94583	36.34167	7045	A	05007	Benton	AR
Report 7234: Daylight sighting by two sisters near their farm in the early 1960s | Class A | Lee County 	1961-10-15T12:00:00Z	-91.08056000000002	34.88111	7234	A	05077	Lee	AR
Report 7815: Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree | Class A | Pope County 	2003-08-12T12:00:00Z	-93.13361000000002	35.27833	7815	A	05115	Pope	AR
Report 7971: Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke.  | Class A | Miller County 	2004-02-19T12:00:00Z	-93.94750000000001	33.18639	7971	A	05091	Miller	AR
Report 8420: Early morning motorist driving to work sees bipedal animal running through field | Class A | Saline County 	2004-04-03T12:00:00Z	-92.40778000000002	34.53167	8420	A	05125	Saline	AR
Report 8527: Man has extraordinary, close encounter while fishing near Huntington | Class A | Sebastian County 	2004-04-23T12:00:00Z	-94.35599999999999	35.09306	8527	A	05131	Sebastian	AR
Report 8913: Late night sighting by motorist | Class A | Desha County 	2001-05-15T12:00:00Z	-91.27056	33.7985	8913	A	05041	Desha	AR
Report 9507: Roadside sighting near Eureka Springs  | Class A | Carroll County 	1994-07-16T12:00:00Z	-93.73999999999999	36.41	9507	A	05015	Carroll	AR
Report 9753: Animal peers into youngster's bedroom window | Class A | Jackson County 	1986-07-15T12:00:00Z	-91.51305999999998	35.44944	9753	A	05067	Jackson	AR
Report 10913: Squirrel Hunter has encounter south of El Dorado | Class A | Union County 	2002-11-05T12:00:00Z	-92.61493000000002	33.14663	10913	A	05139	Union	AR
Report 10919: Youth has sighting from his backyard on Air Force Base | Class A | Pulaski County 	1975-09-15T12:00:00Z	-92.12	34.87	10919	A	05119	Pulaski	AR
Report 11430: Two young men have a sighting while spelunking near Huntsville.  | Class A | Madison County 	1981-07-15T12:00:00Z	-93.75722999999999	36.31519	11430	A	05015	Carroll	AR
Report 11632: 4' - 5.5' upright animal seen crossing dead-end road. | Class A | Union County 	2005-05-07T12:00:00Z	-92.64066	33.26462	11632	A	05139	Union	AR
Report 13211: Early morning sighting by resident along Highway 7 near Bismarck. | Class A | Hot Spring County 	2005-12-04T12:00:00Z	-93.16200000000001	34.285	13211	A	05059	Hot Spring	AR
Report 13718: Man tells of two-legged animal crossing road in front of his car east of Paris | Class A | Logan County 	1986-06-01T12:00:00Z	-93.75312999999998	35.34572	13718	A	05083	Logan	AR
Report 13983: Possible sighting by fisherman at Blue Lake. | Class A | Crittenden County 	1980-06-15T12:00:00Z	-90.31999999999999	35.0194	13983	A	05035	Crittenden	AR
Report 16696: Dusk sighting and vocalizations around property near Cove | Class A | Polk County 	2004-10-15T12:00:00Z	-94.3745	34.369	16696	A	05113	Polk	AR
Report 24254: Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton | Class A | Garland County 	1992-06-14T12:00:00Z	-93.07654000000001	34.44652	24254	A	05051	Garland	AR
Report 26100: Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River  | Class A | Miller County 	1996-11-15T12:00:00Z	-93.89134999999999	33.14759	26100	A	05091	Miller	AR
Report 27482: Man recalls incident while camping as a teenager near Cedarville | Class A | Crawford County 	2010-03-23T12:00:00Z	-94.22900000000001	35.36335	27482	A	05033	Crawford	AR
Report 27948: Motorist has nighttime sighting on a mountain road north of Flippin | Class A | Marion County 	2004-01-14T12:00:00Z	-92.63178999999998	36.29871	27948	A	05089	Marion	AR
Report 29417: Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area | Class A | Saline County 	2010-11-18T12:00:00Z	-92.75093	34.73147	29417	A	05125	Saline	AR
Report 36178: Motorist has nighttime sighting near Lake Village | Class A | Chicot County 	2012-07-29T12:00:00Z	-91.22114999999998	33.26855	36178	A	05017	Chicot	AR
Report 36498: Pre-dawn sighting on a rural road near Fouke | Class A | Miller County 	2012-09-13T12:00:00Z	-93.98622000000002	33.33171	36498	A	05091	Miller	AR
Report 40020: Man has a close daytime encounter with a probable Bigfoot family outside Hardy | Class A | Fulton County 	2008-01-15T12:00:00Z	-91.52025	36.33205	40020	A	05135	Sharp	AR
Report 40101: Motorist views large bipedal animal squatting at night beside I-40 near Marche. | Class A | Pulaski County 	2012-12-07T12:00:00Z	-92.3575	34.86535	40101	A	05119	Pulaski	AR
Report 41827: Motorist has close encounter on Mallard Point Road near Lake Norfork | Class A | Baxter County 	2009-02-15T12:00:00Z	-92.30614	36.38605	41827	A	05005	Baxter	AR
Report 440: A daylight sighting report by an ex soldier | Class A | Cochise County 	2000-10-10T12:00:00Z	-110.1835	31.99003	440	A	04003	Cochise	AZ
Report 3482: Nighttime sighting by motorists on Hwy 87 in Jacks Canyon, 30 miles south of Winslow | Class A | Coconino County 	2000-12-24T12:00:00Z	-110.8403	34.90831	3482	A	04005	Coconino	AZ
Report 6552: Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument | Class A | Apache County 	2001-06-17T12:00:00Z	-109.4276	36.09081	6552	A	04001	Apache	AZ
Report 7495: Night time road crossing near Strawberry, Arizona | Class A | Gila County 	1983-12-30T12:00:00Z	-111.5	34.4	7495	A	04007	Gila	AZ
Report 7566: Bow hunter has daylight sighting near Alpine. | Class A | Greenlee County 	1993-09-04T12:00:00Z	-109.3191	33.6247	7566	A	04011	Greenlee	AZ
Report 8685: Morning sighting in the Lukachukai Mountains of northeast Arizona | Class A | Apache County 	1981-11-07T12:00:00Z	-109.29	36.54165	8685	A	04001	Apache	AZ
Report 11514: Evening sighting by motorists north of Flagstaff. | Class A | Coconino County 	1990-07-01T12:00:00Z	-111.938	35.656	11514	A	04005	Coconino	AZ
Report 16580: Afternoon road-crossing sighting by motorist on RT 61 near Concho | Class A | Apache County 	2006-10-26T12:00:00Z	-109.64	34.325	16580	A	04001	Apache	AZ
Report 17448: A close range road crossing on a foggy morning near Safford | Class A | Graham County 	2007-01-22T12:00:00Z	-109.675	32.815	17448	A	04009	Graham	AZ
Report 17804: Late afternoon road crossing sighting by motorist west of Springerville. | Class A | Apache County 	2007-02-01T12:00:00Z	-109.44	34.6	17804	A	04001	Apache	AZ
Report 18723: Late night multi-witness, road-crossing sighting near Bartlett Lake. | Class A | Maricopa County 	1995-07-15T12:00:00Z	-111.69	33.85	18723	A	04013	Maricopa	AZ
Report 19339: Late afternoon road crossing near Cibecue (Fort Apache Reservation) | Class A | Navajo County 	2006-10-15T12:00:00Z	-110.4298	33.99989	19339	A	04007	Gila	AZ
Report 23136: Early morning roadside sighting of tall gray creature near Buckeye  | Class A | Maricopa County 	2008-07-29T12:00:00Z	-112.6432	33.3785	23136	A	04013	Maricopa	AZ
Report 23358: Late night road side sighting near Tonto Creek | Class A | Gila County 	2006-11-17T12:00:00Z	-111.1367	34.28939	23358	A	04007	Gila	AZ
Report 24405: Man tells of his scary encounter while traveling Route 66 in a snow storm | Class A | Coconino County 	1973-12-20T12:00:00Z	-111.8634	35.241	24405	A	04005	Coconino	AZ
Report 27495: Afternoon sighting by a commuter south of Show Low | Class A | Navajo County 	2010-03-24T12:00:00Z	-110.165	34.1	27495	A	04017	Navajo	AZ
Report 28946: Army Vet recalls daylight sighting near Prescott | Class A | Yavapai County 	1981-08-15T12:00:00Z	-112.5421	34.55154	28946	A	04025	Yavapai	AZ
Report 29358: Brief daylight sighting within the city limits of Show Low | Class A | Navajo County 	2011-05-31T12:00:00Z	-110	34	29358	A	04017	Navajo	AZ
Report 42364: Memory told of a daylight sighting and parallel chase in the Gila River bottoms while riding horseback | Class A | Maricopa County 	1992-08-15T12:00:00Z	-112.73	32.95	42364	A	04013	Maricopa	AZ
Report 83: Early dawn sighting by hunters near Bass Lake | Class A | Madera County 	1988-10-01T12:00:00Z	-119.6436	37.35944	83	A	06039	Madera	CA
Report 147: Sound reports from resident in South Lake Tahoe | Class A | El Dorado County 	2000-06-15T12:00:00Z	-119.9833	38.93333	147	A	06017	El Dorado	CA
Report 353: Night sighting by two motorists near Lake Tahoe | Class A | El Dorado County 	2000-09-23T12:00:00Z	-120.0914	38.9575	353	A	06017	El Dorado	CA
Report 528: Three children have daytime sighting near Eureka | Class A | Humboldt County 	1957-06-01T12:00:00Z	-124.1625	40.80222	528	A	06023	Humboldt	CA
Report 615: Sighting by woman in Eagle Meadow, above Strawberry | Class A | Tuolumne County 	1997-11-15T12:00:00Z	-119.836	38.28085	615	A	06109	Tuolumne	CA
Report 849: Girl has daytime sighting near Payne's Creek | Class A | Tehama County 	1968-11-01T12:00:00Z	-121.9139	40.33556	849	A	06103	Tehama	CA
Report 865: Two 4-wheelers have night sighting above Huntington Lake | Class A | Fresno County 	1997-12-18T12:00:00Z	-119.2119	37.23389	865	A	06019	Fresno	CA
Report 868: Campers have sighting above Pinecrest | Class A | Tuolumne County 	1994-06-01T12:00:00Z	-119.9065	38.17677	868	A	06109	Tuolumne	CA
Report 875: Man has sighting near Alturas | Class A | Modoc County 	1974-06-01T12:00:00Z	-120.6781	41.41	875	A	06049	Modoc	CA
Report 913: Hikers see creature in Desolation Wilderness | Class A | El Dorado County 	2000-07-01T12:00:00Z	-120.205	38.93	913	A	06017	El Dorado	CA
Report 919: Car passenger has nighttime sighting near Lake Tahoe | Class A | El Dorado County 	1996-04-10T12:00:00Z	-119.9833	38.93333	919	A	06017	El Dorado	CA
Report 1055: Two hikers have morning sighting in the Desolation Wilderness | Class A | El Dorado County 	1993-04-01T12:00:00Z	-120.1358	38.86	1055	A	06017	El Dorado	CA
Report 1068: Two fisherman have daytime sighting above Huntington Lake | Class A | Fresno County 	1995-10-29T12:00:00Z	-118.9975	37.35861	1068	A	06019	Fresno	CA
Report 1090: Girl has daytime sighting near Twain Harte | Class A | Tuolumne County 	1978-08-01T12:00:00Z	-120.1877	38.06615	1090	A	06109	Tuolumne	CA
Report 1229: Boy Scout has late night sighting above Porterville | Class A | Tulare County 	1955-08-01T12:00:00Z	-118.8489	36.10222	1229	A	06107	Tulare	CA
Report 1301: Three witnesses have daytime sighting near Strawberry | Class A | Tuolumne County 	1978-07-30T12:00:00Z	-119.9811	38.19753	1301	A	06109	Tuolumne	CA
Report 1391: Man has late night sighting north of Redding | Class A | Siskiyou County 	1999-03-04T12:00:00Z	-122.4306	41.45833	1391	A	06093	Siskiyou	CA
Report 1473: Family has early evening sighting near Weed | Class A | Siskiyou County 	1966-09-01T12:00:00Z	-122.3839	41.42806	1473	A	06093	Siskiyou	CA
Report 1510: Brothers have early evening sighting near Lee Vining | Class A | Mono County 	1977-07-01T12:00:00Z	-119.2642	38.04806	1510	A	06051	Mono	CA
Report 1653: Husband and wife have late night sighting on Highway 299 | Class A | Shasta County 	1978-10-01T12:00:00Z	-122.7325	40.63556	1653	A	06089	Shasta	CA
Report 1919: Friends have night sighting above Sonora | Class A | Tuolumne County 	1983-10-25T12:00:00Z	-120.2339	38.03898	1919	A	06109	Tuolumne	CA
Report 2794: Woman has early evening sighting near Kennedy Meadows | Class A | Tulare County 	1987-05-31T12:00:00Z	-118.1303	36.05278	2794	A	06107	Tulare	CA
Report 2886: A Wildlife Biologist observes a large upright walking animal near Pinecrest | Class A | Tuolumne County 	1993-06-15T12:00:00Z	-119.8633	38.26661	2886	A	06109	Tuolumne	CA
Report 2896: Sister and brother see 3 creatures near Yreka | Class A | Siskiyou County 	1944-08-01T12:00:00Z	-122.9958	41.82417	2896	A	06093	Siskiyou	CA
Report 2928: Eighteen campers find hut; videotape distressed bigfoot walking down mountain ridge | Class A | Siskiyou County 	2000-07-20T12:00:00Z	-123.1317	41.3657	2928	A	06093	Siskiyou	CA
Report 3169: Man sees creature crossing road near Petaluma | Class A | Sonoma County 	1991-01-01T12:00:00Z	-122.5833	38.25583	3169	A	06097	Sonoma	CA
Report 3421: Family has unusual experience outside Grass Valley | Class A | Nevada County 	1978-06-01T12:00:00Z	-120.8908	39.21278	3421	A	06057	Nevada	CA
Report 3672: Late night sighting by motorists travelling through Tioga Pass (Yosemite), a few miles beyond Crane Flat Campground | Class A | Tuolumne County 	1998-08-01T12:00:00Z	-119.2569	37.91111	3672	A	06109	Tuolumne	CA
Report 4446: Daytime sighting by hiker on La Jolla Indian Reservation. | Class A | San Diego County 	1993-07-04T12:00:00Z	-116.8625	33.2675	4446	A	06073	San Diego	CA
Report 4630: Afternoon sighting by hiker outside Dunsmuir | Class A | Siskiyou County 	2001-06-15T12:00:00Z	-122.2703	41.21361	4630	A	06093	Siskiyou	CA
Report 4946: Teenager has daytime sighting near Truckee | Class A | Nevada County 	1956-10-01T12:00:00Z	-120.2653	39.3225	4946	A	06057	Nevada	CA
Report 6429: Woman recalls a nighttime sighting on Hwy. 299 near Burney | Class A | Shasta County 	1994-09-15T12:00:00Z	-121.6156	40.92911	6429	A	06089	Shasta	CA
Report 6521: Woman hears late night scream and has close encounter near Laytonville | Class A | Mendocino County 	1987-06-01T12:00:00Z	-123.4817	39.68833	6521	A	06045	Mendocino	CA
Report 6639: Couple have night sighting near Lake Tahoe | Class A | El Dorado County 	2003-07-20T12:00:00Z	-120.0133	38.85556	6639	A	06017	El Dorado	CA
Report 6746: Man has sighting after massive landslide on Highway 50 | Class A | El Dorado County 	1983-01-01T12:00:00Z	-119.9833	38.93333	6746	A	06017	El Dorado	CA
Report 6961: Teen has daytime sighting near Myers Flat | Class A | Humboldt County 	1963-08-01T12:00:00Z	-123.8692	40.26639	6961	A	06023	Humboldt	CA
Report 6963: Teens have unusual experience near Myers Flat | Class A | Humboldt County 	1965-07-01T12:00:00Z	-123.8692	40.26639	6963	A	06023	Humboldt	CA
Report 7334: Daytime sightings by Forest Service employee near Arroyo Seco | Class A | Monterey County 	1993-04-01T12:00:00Z	-121.495	36.2485	7334	A	06053	Monterey	CA
Report 7555: Two Young Fishermen Have Mid-day Encounter at Lake Shasta | Class A | Shasta County 	1977-08-01T12:00:00Z	-122.3775	40.8875	7555	A	06089	Shasta	CA
Report 7731: Hunting Partners Have Early Morning Roadway Sighting | Class A | Tehama County 	1973-10-15T12:00:00Z	-122.1781	39.92778	7731	A	06103	Tehama	CA
Report 7804: Family has two late night sightings near Nevada City | Class A | Nevada County 	2004-01-04T12:00:00Z	-121.0161	39.26361	7804	A	06057	Nevada	CA
Report 7860: Hunter has daytime sighting near Dos Rios | Class A | Mendocino County 	1974-09-01T12:00:00Z	-123.4817	39.68833	7860	A	06045	Mendocino	CA
Report 8059: Teenagers have sighting of two creatures near Albion | Class A | Mendocino County 	1966-09-01T12:00:00Z	-123.7675	39.22361	8059	A	06045	Mendocino	CA
Report 8487: Hiking boy has close encounter in High Sierra | Class A | Inyo County 	1972-09-15T12:00:00Z	-118.972	37.5703	8487	A	06051	Mono	CA
Report 8595: Man has early morning sighting near Sly Park | Class A | El Dorado County 	2003-09-01T12:00:00Z	-120.5836	38.72139	8595	A	06017	El Dorado	CA
Report 9202: Man remembers childhood daytime sighting along the Feather River | Class A | Sutter County 	1965-07-01T12:00:00Z	-121.58	39.205	9202	A	06115	Yuba	CA
Report 9283: Early morning sighting by motorist along the Eel River | Class A | Humboldt County 	1992-07-12T12:00:00Z	-124	40.465	9283	A	06023	Humboldt	CA
